"month_day","rides","month","day","date"
"9/30","27401","9","30","2019/9/30"
"10/1","31596","10","1","2019/10/1"
"10/2","38048","10","2","2019/10/2"
"10/3","38393","10","3","2019/10/3"
"10/4","36866","10","4","2019/10/4"
"10/5","22905","10","5","2019/10/5"
"10/6","19139","10","6","2019/10/6"
"10/7","28787","10","7","2019/10/7"
"10/8","31444","10","8","2019/10/8"
"10/9","31878","10","9","2019/10/9"
"10/10","38441","10","10","2019/10/10"
"10/11","41375","10","11","2019/10/11"
"10/12","24143","10","12","2019/10/12"
"10/13","21988","10","13","2019/10/13"
"10/14","30433","10","14","2019/10/14"
"10/15","36852","10","15","2019/10/15"
"10/16","39160","10","16","2019/10/16"
"10/17","39277","10","17","2019/10/17"
"10/18","37347","10","18","2019/10/18"
"10/19","24486","10","19","2019/10/19"
"10/20","22867","10","20","2019/10/20"
"10/21","32941","10","21","2019/10/21"
"10/22","36388","10","22","2019/10/22"
"10/23","35912","10","23","2019/10/23"
"10/24","37797","10","24","2019/10/24"
"10/25","36383","10","25","2019/10/25"
"10/26","24987","10","26","2019/10/26"
"10/27","22439","10","27","2019/10/27"
"10/28","31361","10","28","2019/10/28"
"10/29","36853","10","29","2019/10/29"
"10/30","38613","10","30","2019/10/30"
"10/31","34808","10","31","2019/10/31"
"11/1","36694","11","1","2019/11/1"
"11/2","22098","11","2","2019/11/2"
"11/3","18740","11","3","2019/11/3"
"11/4","29349","11","4","2019/11/4"
"11/5","33954","11","5","2019/11/5"
"11/6","35019","11","6","2019/11/6"
"11/7","39548","11","7","2019/11/7"
"11/8","35189","11","8","2019/11/8"
"11/9","21785","11","9","2019/11/9"
"11/10","20770","11","10","2019/11/10"
"11/11","29659","11","11","2019/11/11"
"11/12","39564","11","12","2019/11/12"
"11/13","39418","11","13","2019/11/13"
"11/14","40034","11","14","2019/11/14"
"11/15","35585","11","15","2019/11/15"
"11/16","20532","11","16","2019/11/16"
"11/17","16840","11","17","2019/11/17"
"11/18","31296","11","18","2019/11/18"
"11/19","35274","11","19","2019/11/19"
"11/20","35574","11","20","2019/11/20"
"11/21","39109","11","21","2019/11/21"
"11/22","37055","11","22","2019/11/22"
"11/23","20383","11","23","2019/11/23"
"11/24","16530","11","24","2019/11/24"
"11/25","25084","11","25","2019/11/25"
"11/26","29700","11","26","2019/11/26"
"11/27","22831","11","27","2019/11/27"
"11/28","10554","11","28","2019/11/28"
"11/29","17268","11","29","2019/11/29"
"11/30","23258","11","30","2019/11/30"
"12/1","23000","12","1","2019/12/1"
"12/2","36576","12","2","2019/12/2"
"12/3","39864","12","3","2019/12/3"
"12/4","40985","12","4","2019/12/4"
