"area_name","date","to","from","total","hour","hour_tw","ampm","hour12"
"Irving Park","2019/1/5","7","6","13","4","4","AM","4 AM"
"Irving Park","2019/1/5","4","4","8","5","5","AM","5 AM"
"Irving Park","2019/1/5","1","1","2","6","6","AM","6 AM"
"Irving Park","2019/1/5","2","2","4","7","7","AM","7 AM"
"Irving Park","2019/1/5","3","2","5","8","8","AM","8 AM"
"Irving Park","2019/1/5","5","6","11","9","9","AM","9 AM"
"Irving Park","2019/1/5","0","4","4","10","10","AM","10 AM"
"Irving Park","2019/1/5","3","3","6","11","11","AM","11 AM"
"Irving Park","2019/1/5","3","2","5","12","12","PM","12 PM"
"Irving Park","2019/1/5","5","1","6","13","1","PM","1 PM"
"Irving Park","2019/1/5","9","4","13","14","2","PM","2 PM"
"Irving Park","2019/1/5","4","4","8","15","3","PM","3 PM"
"Irving Park","2019/1/5","8","3","11","16","4","PM","4 PM"
"Irving Park","2019/1/5","5","4","9","17","5","PM","5 PM"
"Irving Park","2019/1/5","6","2","8","18","6","PM","6 PM"
"Irving Park","2019/1/5","9","2","11","19","7","PM","7 PM"
"Irving Park","2019/1/5","6","2","8","20","8","PM","8 PM"
"Irving Park","2019/1/5","7","1","8","21","9","PM","9 PM"
"Irving Park","2019/1/5","7","2","9","22","10","PM","10 PM"
"Irving Park","2019/1/5","15","2","17","23","11","PM","11 PM"
"Irving Park","2019/1/6","7","1","8","0","12","AM","12 AM"
"Irving Park","2019/1/6","10","2","12","1","1","AM","1 AM"
"Irving Park","2019/1/6","7","3","10","2","2","AM","2 AM"
"Irving Park","2019/1/6","4","6","10","3","3","AM","3 AM"
"Irving Park","2019/1/6","4","2","6","4","4","AM","4 AM"
"Irving Park","2019/1/6","4","4","8","5","5","AM","5 AM"
"Irving Park","2019/1/6","5","4","9","6","6","AM","6 AM"
"Irving Park","2019/1/6","3","2","5","7","7","AM","7 AM"
"Irving Park","2019/1/6","3","2","5","8","8","AM","8 AM"
"Irving Park","2019/1/6","2","4","6","9","9","AM","9 AM"
"Irving Park","2019/1/6","5","2","7","10","10","AM","10 AM"
"Irving Park","2019/1/6","1","3","4","11","11","AM","11 AM"
"Irving Park","2019/1/6","3","2","5","12","12","PM","12 PM"
"Irving Park","2019/1/6","3","2","5","13","1","PM","1 PM"
"Irving Park","2019/1/6","4","3","7","14","2","PM","2 PM"
"Irving Park","2019/1/6","4","1","5","15","3","PM","3 PM"
"Irving Park","2019/1/6","5","2","7","16","4","PM","4 PM"
"Irving Park","2019/1/6","7","2","9","17","5","PM","5 PM"
"Irving Park","2019/1/6","4","1","5","18","6","PM","6 PM"
"Irving Park","2019/1/6","9","3","12","19","7","PM","7 PM"
"Irving Park","2019/1/6","7","4","11","20","8","PM","8 PM"
"Irving Park","2019/1/6","12","4","16","21","9","PM","9 PM"
"Irving Park","2019/1/6","5","0","5","22","10","PM","10 PM"
"Irving Park","2019/1/6","5","5","10","23","11","PM","11 PM"
"Irving Park","2019/1/7","6","5","11","0","12","AM","12 AM"
"Irving Park","2019/1/7","4","5","9","1","1","AM","1 AM"
"Irving Park","2019/1/7","8","6","14","2","2","AM","2 AM"
"Irving Park","2019/1/7","6","5","11","3","3","AM","3 AM"
"Irving Park","2019/1/7","3","6","9","4","4","AM","4 AM"
"Irving Park","2019/1/7","1","1","2","5","5","AM","5 AM"
"Irving Park","2019/1/7","6","2","8","6","6","AM","6 AM"
"Irving Park","2019/1/7","5","4","9","7","7","AM","7 AM"
"Irving Park","2019/1/7","4","5","9","8","8","AM","8 AM"
"Irving Park","2019/1/7","3","3","6","9","9","AM","9 AM"
"Irving Park","2019/1/7","4","4","8","10","10","AM","10 AM"
"Irving Park","2019/1/7","9","4","13","11","11","AM","11 AM"
"Irving Park","2019/1/7","4","4","8","12","12","PM","12 PM"
"Irving Park","2019/1/7","4","3","7","13","1","PM","1 PM"
"Irving Park","2019/1/7","5","6","11","14","2","PM","2 PM"
"Irving Park","2019/1/7","4","4","8","15","3","PM","3 PM"
"Irving Park","2019/1/7","7","2","9","16","4","PM","4 PM"
"Irving Park","2019/1/7","3","3","6","17","5","PM","5 PM"
"Irving Park","2019/1/7","8","4","12","18","6","PM","6 PM"
"Irving Park","2019/1/7","10","1","11","19","7","PM","7 PM"
"Irving Park","2019/1/7","3","5","8","20","8","PM","8 PM"
"Irving Park","2019/1/7","11","0","11","21","9","PM","9 PM"
"Irving Park","2019/1/7","5","3","8","22","10","PM","10 PM"
"Irving Park","2019/1/7","10","4","14","23","11","PM","11 PM"
"Irving Park","2019/1/8","6","1","7","0","12","AM","12 AM"
"Irving Park","2019/1/8","3","3","6","1","1","AM","1 AM"
"Irving Park","2019/1/8","3","9","12","2","2","AM","2 AM"
"Irving Park","2019/1/8","1","2","3","3","3","AM","3 AM"
"Irving Park","2019/1/8","3","1","4","4","4","AM","4 AM"
"Irving Park","2019/1/8","2","3","5","5","5","AM","5 AM"
"Irving Park","2019/1/8","2","2","4","6","6","AM","6 AM"
"Irving Park","2019/1/8","2","1","3","7","7","AM","7 AM"
"Irving Park","2019/1/8","4","3","7","8","8","AM","8 AM"
"Irving Park","2019/1/8","6","4","10","9","9","AM","9 AM"
"Irving Park","2019/1/8","4","2","6","10","10","AM","10 AM"
"Irving Park","2019/1/8","4","2","6","11","11","AM","11 AM"
"Irving Park","2019/1/8","4","1","5","12","12","PM","12 PM"
"Irving Park","2019/1/8","3","1","4","13","1","PM","1 PM"
"Irving Park","2019/1/8","7","6","13","14","2","PM","2 PM"
"Irving Park","2019/1/8","8","6","14","15","3","PM","3 PM"
"Irving Park","2019/1/8","4","2","6","16","4","PM","4 PM"
"Irving Park","2019/1/8","6","3","9","17","5","PM","5 PM"
"Irving Park","2019/1/8","12","4","16","18","6","PM","6 PM"
"Irving Park","2019/1/8","15","2","17","19","7","PM","7 PM"
"Irving Park","2019/1/8","10","0","10","20","8","PM","8 PM"
"Irving Park","2019/1/8","15","2","17","21","9","PM","9 PM"
"Irving Park","2019/1/8","10","4","14","22","10","PM","10 PM"
"Irving Park","2019/1/8","8","3","11","23","11","PM","11 PM"
"Irving Park","2019/1/9","6","2","8","0","12","AM","12 AM"
"Irving Park","2019/1/9","2","2","4","1","1","AM","1 AM"
"Irving Park","2019/1/9","5","1","6","2","2","AM","2 AM"
"Irving Park","2019/1/9","1","3","4","3","3","AM","3 AM"
"Irving Park","2019/1/9","4","2","6","4","4","AM","4 AM"
"Irving Park","2019/1/9","4","1","5","5","5","AM","5 AM"
"Irving Park","2019/1/9","3","2","5","6","6","AM","6 AM"
"Irving Park","2019/1/9","7","6","13","7","7","AM","7 AM"
"Irving Park","2019/1/9","4","5","9","8","8","AM","8 AM"
"Irving Park","2019/1/9","2","5","7","9","9","AM","9 AM"
"Irving Park","2019/1/9","5","6","11","10","10","AM","10 AM"
"Irving Park","2019/1/9","7","3","10","11","11","AM","11 AM"
"Irving Park","2019/1/9","8","8","16","12","12","PM","12 PM"
"Irving Park","2019/1/9","9","3","12","13","1","PM","1 PM"
"Irving Park","2019/1/9","5","3","8","14","2","PM","2 PM"
"Irving Park","2019/1/9","7","4","11","15","3","PM","3 PM"
"Irving Park","2019/1/9","2","2","4","16","4","PM","4 PM"
"Irving Park","2019/1/9","11","4","15","17","5","PM","5 PM"
"Irving Park","2019/1/9","7","2","9","18","6","PM","6 PM"
"Irving Park","2019/1/9","11","1","12","19","7","PM","7 PM"
"Irving Park","2019/1/9","16","3","19","20","8","PM","8 PM"
"Irving Park","2019/1/9","9","2","11","21","9","PM","9 PM"
"Irving Park","2019/1/9","10","6","16","22","10","PM","10 PM"
"Irving Park","2019/1/9","13","6","19","23","11","PM","11 PM"
"Irving Park","2019/1/10","7","2","9","0","12","AM","12 AM"
"Irving Park","2019/1/10","1","2","3","1","1","AM","1 AM"
"Irving Park","2019/1/10","3","0","3","2","2","AM","2 AM"
"Irving Park","2019/1/10","1","5","6","3","3","AM","3 AM"
"Irving Park","2019/1/10","1","1","2","4","4","AM","4 AM"
"Irving Park","2019/1/10","4","3","7","5","5","AM","5 AM"
"Irving Park","2019/1/10","2","4","6","6","6","AM","6 AM"
"Irving Park","2019/1/10","1","6","7","7","7","AM","7 AM"
"Irving Park","2019/1/10","3","3","6","8","8","AM","8 AM"
"Irving Park","2019/1/10","2","4","6","9","9","AM","9 AM"
"Irving Park","2019/1/10","2","2","4","10","10","AM","10 AM"
"Irving Park","2019/1/10","8","2","10","11","11","AM","11 AM"
"Irving Park","2019/1/10","2","5","7","12","12","PM","12 PM"
"Irving Park","2019/1/10","10","4","14","13","1","PM","1 PM"
"Irving Park","2019/1/10","8","9","17","14","2","PM","2 PM"
"Irving Park","2019/1/10","7","5","12","15","3","PM","3 PM"
